,Tweet,Sentiment
25431,rekordni čas za šmarno 3h,Neutral
25432,midva z  bova cez 10 min tam cc,Neutral
25433,midva z  bova cez 10 min tam cc,Neutral
25436,  kako je lahko danes pomembno koliko drž nagrade bodo prejeli naši izjemni športnikizaradi tega res ne bomo bankrotira,Positive
25437,če morda kdo ne odšteva do počitnic  še 4 dni  pripravili smo bogat program počitniškega druženja vsem ki,Neutral
25438,death lab uniči sovražnike s kopico orožij,Neutral
25440,taman ti htela napisati,Positive
25441,še eno zagotovljeno skupinsko križarjenje v času prvomajskih počitnic  vse do lizbone in casablance,Negative
25442,nič skrbet šele potem ko ti bo postalo res fajn konec marca,Negative
25444,  nič ni vredno hvale nič obsodbe nič ni vredno obtožbe veliko je posmeha vrednega vse je posmeha vredno če p,Negative
25445,  kako je lahko danes pomembno koliko drž nagrade bodo prejeli naši izjemni športnikizaradi tega res ne bomo bankrotira,Neutral
25447,meni je pa na tem tvitu noro da je 910 zastav le iz rdečih belih in modrih barv,Neutral
25448,se ne posodablja čeko bo izdelan nov slovar pa bo na podlagi referenčnega korpusa ne z lobiranjem,Negative
25449,jaz sem danes tudi dobila svoje zlato p pa mi nihče ne čestita ,Neutral
25450,viš da se da vicedolpočene duše poflikat samo krajcerjev nimamo,Negative
25451,taka lepa svetloba je bila  hvala,Positive
25452,taka lepa svetloba je bila  hvala,Negative
25453,mal jih je takih ,Positive
25454, čufar ve kaj vpliva na znižanje dolga a nimajo razdelanega načrta beri nimajo blage veze,Negative
25455,mosko sankanje v dvojicah ammm zaaakaj,Positive
25456,mosko sankanje v dvojicah ammm zaaakaj,Neutral
25457,soborci v soboto zvečer se vidimo v mc patriot v slovenskih konjicah rokenrol,Negative
25458,je tukaj majhna caka ta denar bomo morali vrniti ljubljankovići ,Neutral
25459,po moje si narobe videl ker ce je  tako rekel pol to tko je tud ce ni ,Positive
25460,v moji knjigi je vse sporno dokler otrok ne dovoli sam a more prej razumet se pravi mora stars razlozit,Neutral
25461, še ena mustrova karikatura iz  da predsednik  ne bi pozabil,Neutral
25462,kučan je zelo zaslužen tudi za mercatorjevo zgodbo,Positive
25463,pildki so tud na zrc že passe zdaj so in korpusi ,Negative
25464,zakaj bi bile gimnazije bolj primerljive po 1 samem podatku,Neutral
25465,ja to so težave s punco ,Neutral
25466,evakuacija iz homsa napreduje danes rešili več kot 200 civilistov a prekinitev spopadov naj bi se v kratkem končala,Positive
25467,hahaha prodaja hlodov na dražbi je razprodaja slovenskega premoženja pa a si lahko še bolj zabit nooooo,Positive
25468, kakšen mora biti torej novi slovar slovenskega jezika,Positive
25469,najboljša nagradna igra za petek povej katere medalje danes ni dobila tina maze in zastonj te bomo polili z,Neutral
25470,tudi če se slika samo da ji plačajo za posnetek z njo tako se dela tako delajo zmagovalci ne pa za sendvič in kokto,Neutral
25471, v ljubljani posvet o novem slovarju slovenskega jezika namenjen zbližanju stališč strokovnjakov,Positive
25472,njegova hm poznamo še koga z iste h h  ,Positive
25473,bravooo na mehanizme in norvezane oni nikol po prstih ne tepejo zarad odstopanja od norme ,Neutral
25474,merkur verjetno tud obi bauhaus,Negative
25475,sej kr kul razn clevza,Negative
25476,super za šoping in potovanje ,Neutral
25477,ne po slovenskem pravopisu je izbrisanec,Negative
25478,a je ql če dam profesorci v powerpoint komad od azre fafafa ,Neutral
25479,mogoce ,Positive
25482,uf a tolk dolg boš čakal,Neutral
25483,to dragi moj je tudi tvoja gimnazija in ne morem pomagat če tam eni nehumanisti povprečje kvarijo,Neutral
25484,zanimiv vpogled v psiho piščevskih blokad dedlajn prokrastinacije in podobnega zabušavanja,Negative
25485,zanimiv vpogled v psiho piščevskih blokad dedlajn prokrastinacije in podobnega zabušavanja,Neutral
25486,srajce morajo biti speglane pa konec,Neutral
25487,bodem najprej pa večerja na posvetu svetili od 9 do zdaj,Negative
25488,bodem najprej pa večerja na posvetu svetili od 9 do zdaj,Negative
25491,to niso podatki na podlagi katerih bi lahko dejansko rangiral šole in če so dostopni očitno jih,Neutral
25492,gimnazija ptuj tvoja mnenja so ravnokar postala nerelevantna ,Negative
25493,ah ti tweeti in pospešeni heartbeati,Neutral
25494,ah ti tweeti in pospešeni heartbeati,Neutral
25495,čez dve uri  od 13 do 15 ure 1222014 in prihrani 40 redne cene električne energije več na,Neutral
25496,brezveze skozi nekaj pojejo,Neutral
25497,i know  lahko pa zrihtam poceni čebulo amp piščance tud nekaj če pokličete zdaj,Negative
25498,se pogovarja z vesno fabjan in tejo gregorin v našem studiu v sočiju,Positive
25499,khm  zakaj pri plačilu na portalu moj petrol ni možnosti plačila preko ebanke ali pa vsaj predračuna na mail,Negative
25500,khm  zakaj pri plačilu na portalu moj petrol ni možnosti plačila preko ebanke ali pa vsaj predračuna na mail,Positive
25501, bravo  10 mesto je odličen rezultat,Negative
25502,raje glej pop tvje telesni strazartega sigurno nisi gledal  sigurno gleda,Neutral
25503,kaj ima več kalorij jabolko ali pomaranča preveri tukaj,Negative
25504,kaj ima več kalorij jabolko ali pomaranča preveri tukaj,Positive
25505, naša bivša coworking pisarna išče novega lastnika  več info  najbolje kar na tel v ogla,Positive
25506, naša bivša coworking pisarna išče novega lastnika  več info  najbolje kar na tel v ogla,Neutral
25507,pa ti samo se po fuzbalih hodis ,Positive
25508,zakaj svojo usmerjenost skos tako poudarjatepravijogledam oglase za valentinakdo poudarja,Negative
25509,za nas atletičarje,Positive
25510,za nas atletičarje,Positive
25511,res je pa vprašanje če ne bi bilo bolje početi kaj drugega ,Neutral
25512,po ogled teh filmov v katerih so pari vse prej kot srečno zaljubljeni boš vriskala od veselja da si samska,Negative
25513,ni vse v denarju vrednote so tudi kaj drugega,Neutral
25514, sedaj je jasno da bo zaradi kockarske zamenjave janševe vlade bolela glava vse slovence janša je prvo saniral in bi se manj,Neutral
25515,antropolosko odkritje 3 ordopedski kavc za kuzka,Negative
25516,lumia 929 glavna zvezda konference mobile world congress 2014,Positive
25517,lumia 929 glavna zvezda konference mobile world congress 2014,Positive
25519,poglej medijske objave dopoldne wrong on both counts se bojim in še raziskava kjer v opozorilu piše to ni raziskava,Neutral
25520,niti enega lgbtpara v valentinovih reklamah  v tv oglasu lesnine se punčka poljubi celo s psom2 puncifanta panak,Negative
25521,jebemti je pa trajalo da jih je pamet srecala,Neutral
25522,minimalno kar bi lahko naredili je da bi primerjali razlike v rezultatih na maturi glede na rezultate npz ter ugotavljali 12,Positive
25523,koliko dijakov je od npz do mature v primerjalnem pogledu napredovalo in koliko nazadovalo tako na suho primerjati je bzv 22,Neutral
25526,če ste se slučajno spraševal  when 2 people tie for olympic gold where does the extra medal come from  ,Positive
25527,če ste se slučajno spraševal  when 2 people tie for olympic gold where does the extra medal come from  ,Negative
25528,so povedali da je bilo prvič v alpskem na oi ja  110000 sek sta bili skladni p  zanimivo tole s trojnim na sp ,Neutral
25530,jap masaža mišice po krču je boleča in ne vem če je velik smisla prekmal po krču v tem  kako uro po njem pa le,Positive
25531,po drugi strani pa za neinstitucionalno obdelavo podatkov tole ni glih reklama ne,Neutral
25539,zanimivosti  morilec čez dan na prostosti  slonovice perugia  edini ki sedi zaradi okrutnega umora mered,Neutral
25540,to pa ampak tudi v tujini moras sluzbo dobit in obdrzat,Negative
25542,kino šiška je osrednja lokacija na  več na ,Neutral
25543, slovenija se je pridružila državam ki od evropske komisije pričakujejo celovit pristop k odpravi diskriminacije http,Negative
25544,ki ga nimas ce komaj zivis tako da je to se tezje plus tujina zaposluje kadre z visokim znanjem,Neutral
25545,ja ptice pojejo svizec zavija čokolado mi skakljamo po rosni travi otroci so brez mozoljev,Positive
25546,za poredne otroke strašit d,Neutral
25548,v zda na primer nimas zdravstvenega zavarovanja mislis da je zastonj das pa hitro tisto polovico,Negative
25549,avtor online obrazca za zavarovanje v tujini se je želel pohvalit z bogatim besed zakladom ter med kritimi stroški omenil repatriacijo,Neutral
25550,vas zanima kako vaši naravni lepoti pustiti da zasije v polnosti,Neutral
25551, vas zanima kako vaši naravni lepoti pustiti da zasije v polnosti,Negative
25552, vas zanima kako vaši naravni lepoti pustiti da zasije v polnosti,Neutral
25554,prznej da spet bodyguarda na popu gledaš,Positive
25555,ta objava je zgolj pr šlepanje dnevnik je pred 11 dnevi objavil surove podatke  cc,Negative
25556,ta objava je zgolj pr šlepanje dnevnik je pred 11 dnevi objavil surove podatke  cc,Positive
25558,negledljivo je  sem hotela gledati globus ampak res ne gre,Neutral
25560,po mojem niso nič ocenjevali ampak zgolj rutinsko ponovili kar že desetletja počno,Positive
25562,plus zavarovanje v zda te stane obcutno vec kot tu poglej stroske operacij na googlu,Negative
25564,lepo je franci rekel še lepše je ko imaš ob sebi nekoga ki je enako vesel kot ti,Neutral
25565,lepo je franci rekel še lepše je ko imaš ob sebi nekoga ki je enako vesel kot ti,Positive
25568,sem v tujini,Negative
25569,vidiš jaz ki sem hodil na šele šestouvrščeno gimnazijo sem pa kri uriniliral na pripravah ,Negative
25570,vidiš jaz ki sem hodil na šele šestouvrščeno gimnazijo sem pa kri uriniliral na pripravah ,Negative
25571,  tu je razmeroma nečitljiva vizualizacija spodaj na prejšnjem linku pa so še xls ipd,Negative
25574,ne vem sam bi namesto tega raje videl ocene študentov na izpitih po faksih in anketne ocene profesorjev ,Neutral
25575,naš studio je majhen gostov pa nocoj veliko  se pogovarja s skakalnim trenerskim triom janus grilc frank,Negative
25576,a ne zihr je zihr,Negative
25578,ve kdo kakšni so rezultati treninga skakalcev,Neutral
25579,ne bo risinja se izogiba najlepšemu mestu na svetu še najmanj bo napadla otroka,Neutral
25580, naš studio je majhen gostov pa nocoj veliko  se pogovarja s skakalnim trenerskim triom janus grilc frank httpt,Neutral
25581, naš studio je majhen gostov pa nocoj veliko  se pogovarja s skakalnim trenerskim triom janus grilc frank httpt,Positive
25582,med pogrešanimi ga še ni  niti med iskanimi,Neutral
25583,osnutek novega filmskega zakona ponujen v javno obravnavo,Neutral
25584,umetniki v štiridnevni izolaciji mednarodni projekt seeker angela vermeulena,Neutral
25585,se kar precej strinjam z  ker lahko tudi drugo precej vpliva no škoduje pa tudi ne če to urediš po navodilih ,Neutral
25586,se kar precej strinjam z  ker lahko tudi drugo precej vpliva no škoduje pa tudi ne če to urediš po navodilih ,Neutral
25587,na trafalgarskem trgu v londonu za leti 2015 in 2016 napovedujejo okostje konja in palec podaljšan čez vsako mero,Positive
25588,zanimivosti  a3 z veliko udobja in varnosti  rtvslovenija limuzinski a3 je po velikosti in karoserijski ob,Neutral
25589,lahko se pa pripravi zelo inkuzivno ponudbo lesnina zdaj to poskuša vendar niso čisto dosledni,Negative
25590, moje pisanje je namenjeno vsem tistim ki ne zaupamo več potihnili so vsi politiki vstajniki,Positive
25591, moje pisanje je namenjeno vsem tistim ki ne zaupamo več potihnili so vsi politiki vstajniki,Neutral
25592,izjava znp glede podelitev kocijančičevih nagrad,Positive
25593,one denar porabijo ,Neutral
25594,one denar porabijo ,Positive
25595,a je baba že doma,Neutral
25596,a je baba že doma,Negative
25598,pozna kdo koga ki pozna ali res nullius ali pa zna zaigratodpet kak njihov komad,Positive
25599,z  v  po treh pirčkih v steklenici dobiš četrtega zastonj,Neutral
25600,dobra prijateljica rabi uslugo  ni enostavno ampak raje vidim da ona razlozi lahko kak kontakt,Negative
25601, plače v državnih podjetjih,Positive
25605,najprej sem se spraševala kako se reče ko ješ kruh in pašteto čeprav imaš kuhano juhopotem sem pojedla še juho no to vem da je požrešnost,Negative
25606,najprej sem se spraševala kako se reče ko ješ kruh in pašteto čeprav imaš kuhano juhopotem sem pojedla še juho no to vem da je požrešnost,Neutral
25607,po dolgem casu na treningu sam letos ne rabm prov velik migat   športni park slovan,Neutral
25610,hoče da namestim kup enih programčkov odbijajoče  kaže da je čas za pravega do zvestega detektiva  ,Negative
25611,preberite jutri v dnevniku četrtek 13 februar  dnevnik,Negative
25612,ja banda rdeča kar ne more iz svoje kože še kar bi pobijali,Negative
25613,loreen je v šovu x factor adria ki poteka v srbiji pokazala svoj factor x spregovorila pa je tudi s kolegom,Positive
25614,loreen je v šovu x factor adria ki poteka v srbiji pokazala svoj factor x spregovorila pa je tudi s kolegom,Negative
25618,zivjo a strežnik za odhpošto je še  vrata 25,Positive
25619, slišati himno po tekmi je nekaj kar si želi slišati vsak športnik v himni so čudovite besede ki so mi zelo pri srcu,Neutral
25622,jst pa   pozdravi mi rodno picerijo domačo ,Neutral
25623,jst pa   pozdravi mi rodno picerijo domačo ,Neutral
25624,pa kdo vam piše tw da se tako blamirate za delmesto v javupravi mora biti javni razpis to bi kot poslanka morali vedeti,Neutral
25625,pa kdo vam piše tw da se tako blamirate za delmesto v javupravi mora biti javni razpis to bi kot poslanka morali vedeti,Neutral
25626,diplomski izpit frančiška lipovšek,Neutral
25627,anj2  prevajanje v slovenščino skupina prof šuštaršiča frančiška lipovšek,Negative
25629,oooo kdo je skrivnostnež,Negative
25630,ali ste vedeli,Negative
25631,ne gre čez dve sta bili boljši od nje zato je tretja ,Negative
25632,ja ti napisala v anglescini in jaz nadaljeval,Positive
25634,meni je lahko samo comp zaprem p,Neutral
25635,so se potrudili raztegniti definicijo da so lahko vključili tisto plačo ,Neutral
25636,so se potrudili raztegniti definicijo da so lahko vključili tisto plačo ,Neutral
25637,računam na to da bodo starši otroke vpisali na najbližjo osnovno šolo in da se bodo otroci samostojno odločili za vpis v srednjo šolo,Negative
25638,število žrtev 11,Positive
25639,malo sem se razgledal po tem  zakomplicirana reč tole vrednotenje visokošolskih ustanov,Negative
25641,pri vseh teh me najmanj moti plača krkinega direktorja ki si jo zasluži vsi ostali pa ,Positive
25642,cool naj podatek potem dajo tebi ,Negative
25644,sklep o zaposlitvi bo sprejet šele jutrivojaka z določenim delčasom ne moreš prerazporediti na delmesto za nedoločen čas,Neutral
25645,v šolstvu so potrebne spremembe se strinjam a taka raziskava ni prava iztočnica ker se ne dotika pravih vprašanj,Neutral
25646,zato se bodo lahko vojaki kot vsi ostali prijavili na javni razpis,Negative
25647,a si videl k prul sploh ni na debilni lestvici ,Neutral
25649,to je blo pa hitro p,Neutral
25650,že dolgo ,Neutral
25657,to je nateg ta silver je isti k bela 5 sam ime so spremenil,Neutral
25658,to je nateg ta silver je isti k bela 5 sam ime so spremenil,Neutral
25659,odgovor  ,Positive
25660,predvsem vi poskušate neprestano na račun vojske politično obračunavati z menoj prosim ne politizirajte slovenske vojske,Negative
25663,zgleda sem jaz ko gledam okol čist za luno ,Positive
25664,zgleda sem jaz ko gledam okol čist za luno ,Neutral
25665, plače v državnih podjetjih,Positive
25666,uff kino vstopnice bodo dražje,Neutral
25667,to so delali tudi na vorancu pred leti ne vem če še ampak pred 10 leti sem inštruirala eno tako ki jim je kvarila povprečje,Positive
25668,to so delali tudi na vorancu pred leti ne vem če še ampak pred 10 leti sem inštruirala eno tako ki jim je kvarila povprečje,Positive
25669,ne posameznikov institucij tu pa verjetno obstajajo merila,Positive
25670, vodja rica je šokiran da se mu nekdo upa kontrirat za zraven pa so njegovi argumenti skoraj izkljucno sestavljeni iz ,Negative
25671, vodja rica je šokiran da se mu nekdo upa kontrirat za zraven pa so njegovi argumenti skoraj izkljucno sestavljeni iz ,Neutral
25672,s pipinom se boriva proti temi,Positive
25673,nehaj čista poezija ,Neutral
25674,ful velik ljudi mi je rekl da sm posebn  zdej pa nevem a sm poseben v dobrem smislu al v slabem  hmmmm,Neutral
25675,ful velik ljudi mi je rekl da sm posebn  zdej pa nevem a sm poseben v dobrem smislu al v slabem  hmmmm,Positive
25676,zanimivosti  marjan se rad odene v zlato  slonovice ni barve ki bi marjana bolj pritegnila kot zlata ta ,Positive
25678,ha hako vam zmanjka argumentov pase govori da ste med podpisniki peticije ukinimo sv,Positive
25679,tudi minister in sektetar sta slisala samo to ,Positive
25680,tako kot tisti ljudje ki si hiso zgradijo na plazovitem obmocju in ko se plaz sprozi cvilijo drzava pomagaj,Positive
25681,no njen prvi argument je bil kaj hodijo njo nadzirat ko jih ona s s plačevanjem ddv živi,Negative
25682,nov zakon o filmu jemlje deleze kinetamografom operarerjem itd kar bo zvisalo cene ce ne bo vstopilo ustavno sod,Positive
25683,nov zakon o filmu jemlje deleze kinetamografom operarerjem itd kar bo zvisalo cene ce ne bo vstopilo ustavno sod,Neutral
25685,koristna bi bila tudi raziskava ki bi pokazala verjetnost da maturant srednje šole konča v enem letu prvi letnik fakultete,Positive
25686,ej zdajle videla posnetek podelitve medalj en argument za tvojo ženko ful hecna je videti tista prazna stopnička ,Positive
25687,kr takoj če ne bomo vlekl loh še cel mesec,Neutral
25690,kaj pa za foro vse piškote zgodovine in sorodno šavje pobrisat,Positive
25691,ahanaslednji je bil naj hodijo tajkune kontrolirat pa štormana ne pa poštenjakov ki so več mesecev na bolniški pred porodniško,Positive
25692,v izhodni pošti malo nepravilno uporabljate predloge in sklanjatve ,Positive
25693,čestitati vsem odličnim slovenskim športnikom ni nič narobe lastiti si uspehe to je pa nekaj drugega,Positive
25694,sklepam po temle,Neutral
25695,evo druga prijava  poslana pošiljanje tretje bo najverjetneje v ponedeljek,Positive
25697,www ni lokalno nekje bi se mi moral odpret tudi popup pa ni bilo nic v statusni sem pa videl javascript  al neki podobn,Positive
25698,www ni lokalno nekje bi se mi moral odpret tudi popup pa ni bilo nic v statusni sem pa videl javascript  al neki podobn,Positive
25699,bravo  clap clap  jutri lahk dobis pomoc ker bom tan okol tebe hodil ce kaj pomaga,Positive
25701,in za ta prave športnice,Negative
25702,to si probal ane  zgoraj ti piše če je javascript vklopljen,Neutral
25703,misel je lepa in celo korektna na žalost ne velja v  u,Positive
25706, vesni fabjan razlagamo ,Positive
25707, romanleljak nisi vreden še manj pa pomemben da bi se kdorkoli s teboj roke mazal očitno pa si to želiš zato take bedarije pišeš,Negative
25708,jutri damo v prodajo nove crooks amp castles tshirte puloverje jakne,Positive
25709,jutri damo v prodajo nove crooks amp castles tshirte puloverje jakne,Positive
25710,oh ja vem po bitki je lahko bit general ,Positive
25711,jaz odštevam ,Positive
25713,nek rek tak bojda obstaja  se mi zdi aaa pametno polde dobr spi nočko,Neutral
25714,ma ja bemu požrehe mačje sigurno si je mislil boljš da jst požrem kot pa tamala tečka mačja da se ne pokvari,Neutral
25715,unfollowerje bi vprašal zakaj me ne sledijo več d,Positive
25716,unfollowerje bi vprašal zakaj me ne sledijo več d,Neutral
25717,ko dobiš sanjsko službo še vse nas notr ufuraš aweš ,Negative
25718,sovražim kadar se ful matram s pomarančo  potem je pa kisla ,Positive
25720, tinamaze res si carica tina še tako naprej,Positive
25721,pa ni tko slabo ,Positive
25722,jup exactly hehe pa pol urce po kozlanju spet fehtat za futr never ending story pizde kosmate  but we love them ,Negative
25723,na primer ,Neutral
25724,na primer ,Neutral
25725,a propos človek moderni klasiki ,Positive
25729,nov dan čas za nove sanje lahko noč ,Neutral
25730,zanimivo sicer nisem bil na pravem faksu samo ce nastudiram tole bi mi pomoje celo uspel nardit na enem od prihodnjih rokov,Positive
25731,vtipkaj meets the kumars za režat ne pozabi dat filat tulifona za jutr ,Positive
25732,bom js to rajs naredu par ur kasneje ,Positive
25733,bom js to rajs naredu par ur kasneje ,Positive
25734,saj jih ne bodo spravili za zapahe zaradi domnevne propagande,Positive
25735,biti merkurjev kupec ni tako zelo hudo biti njihov dobavitelj je pa ruska ruleta,Positive
25736,seriously  7 minut čez polnoč mi pošljete newsletter da je pred 2 urama nastopil shigeto well to mi je pa žal,Positive
25737,konec dogodka a2 ljubljana  obrežje izredni dogodek,Positive
25738,slovenija  pregled dneva švedski hokejisti zlahka mimo čehov  delo hitrostno drsanje ostaja v nizozemski d,Positive
25739,začenja se zbiranje 40000 podpisov za referendum o arhivski noveli,Neutral
25740,bravooo tinaaa,Positive
25741,ko se ne moreš nehat smejati zaradi risov ne tistih ki so pobegnili iz živalskega vrta ampak tistih ki bodo danes igrali na oi,Negative
25742,ko se ne moreš nehat smejati zaradi risov ne tistih ki so pobegnili iz živalskega vrta ampak tistih ki bodo danes igrali na oi,Neutral
25743,tnx za mg se mi je zdelo da sem ga že slišal omenjenega pomanjkanje mg v povezavi s krči,Neutral
25744,naredi hard cut en dan ne spat do ure kadar hoces in spat 2 dni in si dober,Neutral
25745, vsak gol naših hokejistov proti rusom štejem kot medaljo,Positive
25746,v lj se je zacelo jasnit jutri bo lep soncen dan d,Negative
25747,v lj se je zacelo jasnit jutri bo lep soncen dan d,Neutral
25748, andrea massi brez dlake na jeziku s slovensko zastavo v rokah ta uspeh naj bo v poduk vsem idiotom ki se kregajo o neumnosti,Negative
25749, andrea massi brez dlake na jeziku s slovensko zastavo v rokah ta uspeh naj bo v poduk vsem idiotom ki se kregajo o neumnosti,Positive
25750,kada bih svoj život mogao da proživim ispočetka pokušao bih da napravim više grešaka ne bih se trudio da budem,Positive
25751,a s druge strane  posle nekih sam progledala i po pitanju prijatelja tako da je to valjda balans neki pa je ok ,Positive
25752,večkanalna slikovna personalizacija z directsmile podjetje directsmile je predstavil svojo istoimensko progr,Positive
25753,iskrene čestitke ob zlati medaliji tina ob fenomenalni zmagi le tako naprej sledi svojim sanjam,Positive
25754,tina maze prejela zlato medaljo,Neutral
25755,tina maze prejela zlato medaljo,Neutral
25756,jao s kom se jest to pregovarjam  žigrad,Negative
25757,spol otroka  nama je bilo vedno vseeno ali bova imela fantke ali punčke ali malo mešano,Neutral
25758,ahahah ja dej pejd igrce igrat p,Positive
25759,primerno za na siht itak,Positive
25760,primerno za na siht itak,Neutral
25761,boga čita sploh ne ve kaj se ji je zgodilo ja tarzana še ni bilo lol,Positive
25762,boga čita sploh ne ve kaj se ji je zgodilo ja tarzana še ni bilo lol,Positive
25763,zanimivosti  oplov prostorski tetris  siol zlaganje sedežev v ravno dno je danes nekaj tako samoumevnega ko,Positive
25764,zanimivosti  oplov prostorski tetris  siol zlaganje sedežev v ravno dno je danes nekaj tako samoumevnega ko,Positive
25765, slovenski calvin and hobbes obvezno branje,Positive
25766, slovenski calvin and hobbes obvezno branje,Positive
25767,ej  in   danes  kava obavezno lokacija po izbiri navijam za lom xd,Positive
25768,komentar karel lipnik logika družinskega proračuna,Neutral
25769,lepo prosim samo brez novih licenc,Neutral
25770,carica,Positive
25771,carica,Neutral
25772,jutri izvemo koliko je zrasel evrski bdp na slovenski podatek bo treba počakati,Positive
25773,izzivi poslovnega turizma  danes priloga o turizmu cc,Positive
25774,kdaj pa kdaj je treba kakšno dejanje tudi obžalovat ane,Positive
25775,kdo pa tako lepo oblikuje salamice in sirčke,Positive
25776,kdo pa tako lepo oblikuje salamice in sirčke,Positive
25777,namesto službe bi zdaj kaj povsem drugega,Positive
25778,namesto službe bi zdaj kaj povsem drugega,Positive
25779,tole je res vrhunsko narejen   zelo odlično,Positive
25780, finance    na dan 13214,Positive
25781, koliko časa bi bral vojno in mir fin merilec hitrosti branja,Positive
25782,vlada danes o prevzemih in voznikih lahko pa tudi o socialnem sporazumu,Positive
25783,po moje so pa kičasto lepi p,Positive
25784, izjava ministra za finance čuferja v slogu prepoznavnih izjav sebastjana cimirotiča  ,Positive
25785,o thxpred leti smo uvedli turnir z nogometom proti diskriminaciji v mlad c zalog zdaj je tradicionalen,Positive
25786, menjava z bitcoini zaustavljena,Positive
25789,čim več golov prosim res bi ga rad videl drsat ,Neutral
25790,čim več golov prosim res bi ga rad videl drsat ,Neutral
25791,to so jankovićevi in zemljaričevi ljudje,Positive
25792,the stroj očitno je za ljudi glasba edina znosna oblika tišine,Positive
25793,jutranje navdušenje nad ščetkanjem,Neutral
25796,jaz sem misli da govorita o lacanu in ženski superiornosti vagina dentata itd ,Neutral
25797,isokon z dobro strategijo izstopil iz povprečnosti managerski izziv 2014 je prejel uroš žnidarič,Positive
25798,edini šopek cvetja ki navdušuje moške,Positive
25799,wot imaš občine v slo ki ga niso zaračunavale je bilo v času sprejemanja neprem davka precej prispevkov gugli,Positive
25800,wot imaš občine v slo ki ga niso zaračunavale je bilo v času sprejemanja neprem davka precej prispevkov gugli,Positive
25801, primerno za na siht itak,Positive
25802, primerno za na siht itak,Neutral
25805,maja sunčič pod vlado bratuškove bomo jedli travo  reportersi  via,Positive
25806,no da se ne ponavljam jamrat je najlaži pa dajat utopične predloge da prođe vreme,Positive
25807,svet  afganistanci kljub svarilom zda izpustili zapornike  rtvslovenija v afganistanu so kljub nasprotovan,Neutral
25808,zaradi tega  na  logbrezovica,Positive
25809,ok zadnjič dokler ne boste mislenost ne da se odpravil nehite cvilit,Positive
25810,sploh če okrog vratu visi še kaka medalja,Positive
25811,danes o ohranitvi nevtralnega interneta vabljeni,Positive
25812,pdz janko veber bo danes v četrtek 13 2 2014 ob 14 uri sprejel veleposlanika republike malte alfreda a zarba,Neutral
25813,seveda mi znamo ,Negative
25814,seveda mi znamo ,Negative
25815,petra kos medic mamica od aprila 2013  se je splačalo iz 62 5 na 53 5kg iz 27 2 na 20 maščobe plus 10,Positive
25818,skb dd poslovni  2013 dd,Positive
25819,do note uradno se naši valuti reče euro evro je zgolj dopustna oblika zaradi lokalnih specifik ceprav tudi meni ni vsec z u,Positive
25820,perfektno peš v šolo je največji žur  nobenih navodil med jutranjo živčno vožnjo  kmalu samostojni in vsi zadovoljni ,Positive
25821,te možnosti policija za kd ki se preganjajo na zasebno tožbo nima,Positive
25822,drkal,Positive
25825,vlada ima načrte zadolževanja kako vrniti pa se ji le bežno sanja,Positive
25827,tudi danes bo v sočliju zgodovinski dan s kolajnami ali brez preverite spored,Neutral
25828,več deset tisoč domov v veliki britaniji brez električne energije močno oviran tudi promet,Positive
25829,kriminalisti na magistratu na ljubljanski kresiji in na sedežu družbe jplpt neuradno tudi pri mateji duhovnik,Neutral
25830,kriminalisti na magistratu na ljubljanski kresiji in na sedežu družbe jplpt neuradno tudi pri mateji duhovnik,Negative
25831,ti cist verjamem na besedo ,Positive
25832,ti cist verjamem na besedo ,Negative
25833,tole bi blo na suho to pa ni gut,Neutral
25834,tole bi blo na suho to pa ni gut,Positive
25835,bekir bajramović  jedan od vodja protesta u cazinu,Positive
25838, začenja se zbiranje 40000 podpisov za referendum o arhivski noveli,Neutral
25842,to tudi nas zanima   kje v ljubljani imajo dobre zajtrke ob slovenski cesti razen le petit,Positive
25843,to tudi nas zanima   kje v ljubljani imajo dobre zajtrke ob slovenski cesti razen le petit,Positive
25845,oprostite gospod policaj ampak  a vi sploh kej liftate ,Negative
25846,maze moj športni cikel se zaključuje z olimpijado,Negative
25848,smo bli že včer sam smo pri jamranju ostal ,Positive
25849, še ena mustrova karikatura iz  da predsednik  ne bi pozabil,Negative
25850, še ena mustrova karikatura iz  da predsednik  ne bi pozabil,Neutral
25851,  ko ja dons zjutri zravn daljinca,Neutral
25852,berem  rusi se bodo ob 1330 pomerili z veliko risijo,Neutral
25853,že dobre tri tedne je pogrešan vodja izbrisanih todorović  reportersi  via,Positive
25854,bojan petan kaviar levičar in še en tajkun ki ga rešuje slaba banka  reportersi  via,Neutral
25855,bojan petan kaviar levičar in še en tajkun ki ga rešuje slaba banka  reportersi  via,Negative
25856, finance    na dan 13214,Positive
25857,bi imel tudi ti rad fit postavo do poletja s športno prehrano gre lažje klik na ,Positive
25858,omg dons je četrtek trinajsti,Positive
25860,odgovorila sem  ki ni dovolj informiran v zvezi z opn kako je bilo prej je jasno,Neutral
25862,veliko poguma in sreče,Neutral
25863, skusalke doma pozabla  se dobr da ni ze danes valentinovo ker potem bi imela filing da me je ze navsezgodi zjutri en n,Neutral
25864,pošta slo pobirapodira meje dobrega okusa kar mižat treba tam,Positive
25865, pravkar sem zvedel da beseda dreck v angleščini prav tako pomeni sranje,Negative
25866, pravkar sem zvedel da beseda dreck v angleščini prav tako pomeni sranje,Negative
25867,telekom slovenije bi lahko v prihodnje postal tudi dobavitelj elektrike,Positive
